Week,ethereum: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2019-09-01,3,2019-09-01,172.458405,173.696854,169.531281,171.629425,171.629425,5554799576
2019-09-08,3,2019-09-08,178.282593,182.977081,178.142502,181.35553,181.35553,6472677266
2019-09-15,3,2019-09-15,188.068436,190.399338,186.447327,189.789124,189.789124,6222874780
2019-09-22,3,2019-09-22,215.486557,216.086243,207.644928,211.54538,211.54538,7812854576
2019-09-29,2,2019-09-29,174.612747,175.21022,166.997696,170.503479,170.503479,6497088199
2019-10-06,2,2019-10-06,176.36438,177.364548,171.299774,173.059143,173.059143,5852890674
2019-10-13,2,2019-10-13,180.861313,185.075912,180.317154,182.07515,182.07515,6733182273
2019-10-20,3,2019-10-20,172.974762,176.718689,171.210724,175.534378,175.534378,6801091120
2019-10-27,2,2019-10-27,179.932632,188.155334,177.682358,184.242218,184.242218,10815941952
2019-11-03,2,2019-11-03,183.994827,185.024216,179.818146,182.425018,182.425018,8760247744
2019-11-10,2,2019-11-10,184.943359,190.920609,184.686783,189.47728,189.47728,8752784211
2019-11-17,3,2019-11-17,183.35083,188.191345,182.336807,185.119232,185.119232,7364325471
2019-11-24,3,2019-11-24,153.430527,153.965912,142.834702,142.834702,142.834702,7782769098
2019-12-01,2,2019-12-01,152.491928,152.491928,147.067932,151.18573,151.18573,7102780298
2019-12-08,2,2019-12-08,148.743683,152.392929,148.313339,151.264725,151.264725,6441727252
2019-12-15,3,2019-12-15,142.86499,143.925354,139.426956,143.11499,143.11499,7235153411
2019-12-22,3,2019-12-22,128.098129,133.160034,127.92849,132.372513,132.372513,9121058481
2019-12-29,3,2019-12-29,128.266876,136.811203,127.997658,134.75798,134.75798,9708776786
2020-01-05,3,2020-01-05,135.072098,139.410202,135.045624,136.276779,136.276779,7526675353
2020-01-12,4,2020-01-12,143.032547,146.145859,142.707642,145.873932,145.873932,8528167453
2020-01-19,3,2020-01-19,175.46759,177.247635,163.676865,166.969849,166.969849,13713374132
2020-01-26,4,2020-01-26,161.176819,168.220322,160.281128,168.077103,168.077103,9261861590
2020-02-02,5,2020-02-02,183.532501,193.080399,180.17395,188.617538,188.617538,14054425389
2020-02-09,8,2020-02-09,222.982239,229.864243,222.982239,228.578568,228.578568,15031356241
2020-02-16,6,2020-02-16,264.904053,272.882446,242.484406,259.894714,259.894714,25152366643
2020-02-23,5,2020-02-23,262.278412,273.75415,261.96051,273.75415,273.75415,19585998814
2020-03-01,4,2020-03-01,219.752686,226.677887,214.130432,218.970596,218.970596,18179807469
2020-03-08,6,2020-03-08,237.780685,237.780685,200.602982,200.689056,200.689056,21381823651
2020-03-15,5,2020-03-15,123.246063,132.242142,121.853653,125.214302,125.214302,12719251813
2020-03-22,4,2020-03-22,132.851135,136.151642,122.909332,123.321152,123.321152,12497707224
2020-03-29,4,2020-03-29,131.015335,131.174088,125.45005,125.583733,125.583733,9938133669
2020-04-05,4,2020-04-05,145.261017,146.128525,142.102081,143.546646,143.546646,11280993591
2020-04-12,4,2020-04-12,158.232391,164.516953,156.320511,161.142426,161.142426,15123721386
2020-04-19,5,2020-04-19,186.861984,188.098923,180.120819,181.61496,181.61496,19146038381
2020-04-26,7,2020-04-26,195.413589,199.344971,194.768066,197.317535,197.317535,18335367012
2020-05-03,6,2020-05-03,215.352066,219.270874,208.692368,210.933151,210.933151,20469034664
2020-05-10,6,2020-05-10,211.5522,211.5522,182.711166,188.599564,188.599564,25211575193
2020-05-17,6,2020-05-17,200.608871,209.160934,200.102798,207.158691,207.158691,15470397303
2020-05-24,5,2020-05-24,208.716064,210.595078,202.370346,202.370346,202.370346,11833299572
2020-05-31,7,2020-05-31,242.351379,244.045258,230.052826,230.975708,230.975708,12234904813
2020-06-07,6,2020-06-07,241.908081,245.435257,236.325256,245.167252,245.167252,9544883157
2020-06-14,5,2020-06-14,238.968185,239.101456,232.958191,234.1147,234.1147,7439385176
2020-06-21,5,2020-06-21,229.216141,232.358948,228.492996,228.989822,228.989822,5600408178
2020-06-28,5,2020-06-28,222.91449,228.598282,219.472672,225.347168,225.347168,6205925718
2020-07-05,6,2020-07-05,228.976196,229.85672,224.544495,227.664597,227.664597,5292172429
2020-07-12,5,2020-07-12,239.459641,243.311142,237.770218,242.131699,242.131699,6596394718
